date,portfolio,asset,weight
2011-05-01,gmv,MSFT,0.005205679141904929
2011-05-01,orp,MSFT,1.3
2011-05-01,gmv,AAPL,0.002150828644396366
2011-05-01,orp,AAPL,1.7363386286784911e-22
2011-05-01,gmv,IBM,0.003621040091530701
2011-05-01,orp,IBM,2.842642440964934e-22
2011-05-01,gmv,ORCL,-0.07275069781961974
2011-05-01,orp,ORCL,-0.3
2011-05-01,gmv,JPM,-0.08072288100377381
2011-05-01,orp,JPM,1.7348769484304666e-22
2011-05-01,gmv,BAC,-0.04000919208305531
2011-05-01,orp,BAC,2.838465402781081e-22
2011-05-01,gmv,WFC,0.0673161578825894
2011-05-01,orp,WFC,6.161768522809008e-23
2011-05-01,gmv,AXP,-0.002552331216486535
2011-05-01,orp,AXP,2.8507544589692136e-22
2011-05-01,gmv,JNJ,0.02812655641080098
2011-05-01,orp,JNJ,2.28834421387702e-22
2011-05-01,gmv,PFE,-0.06283997131540708
2011-05-01,orp,PFE,1.9634562332317806e-22
2011-05-01,gmv,MRK,0.1452293741085094
2011-05-01,orp,MRK,-4.9199571969019863e-23
2011-05-01,gmv,UNH,0.12976339307120033
2011-05-01,orp,UNH,2.8431623291133864e-22
2011-05-01,gmv,HD,0.06873428438384055
2011-05-01,orp,HD,1.7291674292084926e-22
2011-05-01,gmv,MCD,0.035798822837889085
2011-05-01,orp,MCD,2.2855871117948328e-22
2011-05-01,gmv,DIS,0.009765562928402718
2011-05-01,orp,DIS,1.7406453451489184e-22
2011-05-01,gmv,NKE,0.017044861683159725
2011-05-01,orp,NKE,2.8401734226577607e-22
2011-05-01,gmv,PG,0.0398220540610186
2011-05-01,orp,PG,1.7286526508757387e-22
2011-05-01,gmv,KO,0.016309483684528326
2011-05-01,orp,KO,1.726374991149762e-22
2011-05-01,gmv,PEP,-0.03713346846170634
2011-05-01,orp,PEP,1.728456767591768e-22
2011-05-01,gmv,WMT,0.08931252303762938
2011-05-01,orp,WMT,1.7266932103666167e-22
2011-05-01,gmv,XOM,0.027086983633696247
2011-05-01,orp,XOM,1.9594396721282452e-22
2011-05-01,gmv,CVX,-0.003991458099951144
2011-05-01,orp,CVX,6.20608313051904e-23
2011-05-01,gmv,COP,0.10104744743458277
2011-05-01,orp,COP,2.840653203053195e-22
2011-05-01,gmv,GE,0.0425967466209968
2011-05-01,orp,GE,1.733580042798245e-22
2011-05-01,gmv,CAT,0.12100969042842678
2011-05-01,orp,CAT,1.7305658837648927e-22
2011-05-01,gmv,BA,0.011295621456491434
2011-05-01,orp,BA,2.840282229718565e-22
