novelty_mode,transcriptid,chunk_index,exec_turn_index,componentorder,transcriptcomponentid,speakertypename
full_turns,79809,3,,3,5729968,Analysts
full_turns,79809,6,,6,5729971,Executives
full_turns,79809,8,,8,5729973,Executives
full_turns,79809,10,,10,5729975,Analysts
full_turns,79809,11,,11,5729976,Executives
full_turns,79809,12,,12,5729977,Analysts
full_turns,79809,14,,14,5729979,Analysts
full_turns,79809,16,,16,5729981,Analysts
full_turns,79809,17,,17,5729982,Executives
full_turns,79809,20,,20,5729985,Analysts
full_turns,79809,21,,21,5729986,Executives
full_turns,79809,25,,25,5729990,Analysts
full_turns,79809,27,,27,5729992,Analysts
full_turns,79809,28,,28,5729993,Executives
full_turns,79809,30,,30,5729995,Analysts
full_turns,79809,31,,31,5729996,Executives
full_turns,79809,34,,34,5729999,Executives
full_turns,79809,35,,35,5730000,Analysts
full_turns,79809,36,,36,5730001,Executives
full_turns,79809,39,,39,5730004,Analysts
full_turns,79809,40,,40,5730005,Executives
full_turns,79809,42,,42,5730007,Analysts
full_turns,79809,43,,43,5730008,Executives
full_turns,79809,44,,44,5730009,Analysts
full_turns,79809,47,,47,5730012,Executives
full_turns,79809,50,,51,5730016,Analysts
full_turns,79809,51,,52,5730017,Executives
full_turns,79809,54,,55,5730020,Executives
full_turns,79809,57,,58,5730023,Executives
full_turns,79809,62,,63,5730028,Executives
full_turns,79809,67,,68,5730033,Analysts
full_turns,79809,68,,69,5730034,Executives
full_turns,79809,70,,72,5730037,Executives
full_turns,79809,78,,82,5730047,Executives
full_turns,79809,79,,83,5730048,Analysts
full_turns,79809,81,,85,5730050,Analysts
full_turns,79809,87,,91,5730056,Analysts
full_turns,79809,88,,92,5730057,Executives
full_turns,79809,92,,96,5730061,Analysts
full_turns,79809,93,,97,5730062,Executives
full_turns,79809,96,,100,5730065,Executives
full_turns,79809,99,,103,5730068,Analysts
full_turns,79809,100,,104,5730069,Executives
full_turns,79809,101,,105,5730070,Analysts
full_turns,79809,103,,107,5730072,Analysts
full_turns,79809,104,,108,5730073,Executives
full_turns,79809,106,,110,5730075,Analysts
full_turns,79809,107,,111,5730076,Executives
full_turns,79809,108,,112,5730077,Analysts
full_turns,79809,109,,113,5730078,Executives
full_turns,79809,110,,114,5730079,Executives
full_turns,79809,116,,121,5730086,Executives
full_turns,79809,118,,124,5730089,Executives
full_turns,79809,120,,126,5730091,Analysts
full_turns,79809,122,,128,5730093,Analysts
full_turns,79809,123,,129,5730094,Executives
full_turns,79809,124,,130,5730095,Analysts
full_turns,79809,125,,131,5730096,Executives
full_turns,79809,132,,138,5730103,Analysts
full_turns,79809,137,,143,5730108,Analysts
full_turns,79809,139,,145,5730110,Executives
full_turns,79809,141,,147,5730112,Executives
full_turns,79809,143,,149,5730114,Analysts
full_turns,79809,147,,154,5730119,Executives
full_turns,79809,149,,156,5730121,Executives
full_turns,79809,151,,158,5730123,Analysts
full_turns,79809,152,,159,5730124,Executives
full_turns,79809,156,,164,5730129,Executives
full_turns,79809,163,,171,5730136,Executives
full_turns,79809,164,,172,5730137,Analysts
full_turns,79809,165,,173,5730138,Executives
full_turns,80129,6,,7,5750156,Executives
full_turns,80129,8,,9,5750158,Executives
full_turns,80129,9,,10,5750159,Analysts
full_turns,80129,10,,11,5750160,Executives
full_turns,80129,19,,20,5750169,Executives
full_turns,80129,20,,21,5750170,Analysts
full_turns,80129,23,,24,5750173,Executives
full_turns,80129,28,,30,5750179,Executives
full_turns,80129,30,,32,5750181,Executives
full_turns,80129,31,,33,5750182,Analysts
full_turns,80129,40,,42,5750191,Executives
full_turns,80129,41,,43,5750192,Analysts
full_turns,80129,45,,47,5750196,Analysts
full_turns,80129,46,,48,5750197,Executives
full_turns,80129,47,,49,5750198,Analysts
full_turns,80129,48,,50,5750199,Executives
full_turns,80129,51,,53,5750202,Executives
full_turns,80129,52,,54,5750203,Executives
full_turns,80129,53,,55,5750204,Analysts
full_turns,80129,55,,57,5750206,Analysts
full_turns,80129,56,,58,5750207,Executives
full_turns,80129,59,,61,5750210,Analysts
full_turns,80129,60,,62,5750211,Executives
full_turns,80129,66,,68,5750217,Analysts
full_turns,80129,67,,69,5750218,Executives
full_turns,80129,68,,70,5750219,Analysts
full_turns,80129,71,,73,5750222,Executives
full_turns,80129,76,,79,5750228,Executives
full_turns,80129,80,,83,5750232,Executives
full_turns,80129,83,,86,5750235,Executives
full_turns,80129,90,,93,5750242,Analysts
full_turns,80129,100,,104,5750253,Analysts
full_turns,80129,101,,105,5750254,Executives
full_turns,80129,103,,107,5750256,Executives
full_turns,80483,5,,8,5774319,Analysts
full_turns,80483,6,,9,5774320,Executives
full_turns,80483,10,,14,5774325,Analysts
full_turns,80483,11,,15,5774326,Executives
full_turns,80483,12,,16,5774327,Analysts
full_turns,80483,16,,20,5774331,Analysts
full_turns,80483,17,,21,5774332,Executives
full_turns,80483,18,,22,5774333,Analysts
full_turns,80483,19,,23,5774334,Executives
full_turns,80483,20,,24,5774335,Executives
full_turns,80483,22,,26,5774337,Executives
full_turns,80483,23,,27,5774338,Analysts
full_turns,80483,24,,28,5774339,Executives
full_turns,80483,26,,30,5774341,Executives
full_turns,80483,33,,37,5774348,Analysts
full_turns,80483,34,,38,5774349,Executives
full_turns,80483,36,,40,5774351,Executives
full_turns,80483,46,,51,5774362,Analysts
full_turns,80483,47,,52,5774363,Executives
full_turns,80483,48,,53,5774364,Analysts
full_turns,80483,49,,54,5774365,Executives
full_turns,80483,53,,58,5774369,Executives
full_turns,80483,58,,63,5774374,Analysts
full_turns,80483,59,,64,5774375,Executives
full_turns,80483,63,,68,5774379,Executives
full_turns,80483,64,,69,5774380,Analysts
full_turns,80483,65,,70,5774381,Executives
full_turns,80483,69,,74,5774385,Operator
full_turns,80483,73,,80,5774391,Executives
full_turns,80483,78,,85,5774396,Executives
full_turns,80483,79,,86,5774397,Analysts
full_turns,80483,84,,91,5774402,Executives
full_turns,80483,87,,94,5774405,Executives
full_turns,80483,88,,95,5774406,Analysts
full_turns,80483,89,,96,5774407,Executives
full_turns,80483,93,,101,5774412,Analysts
full_turns,80483,103,,111,5774422,Executives
full_turns,80483,105,,114,5774425,Analysts
full_turns,80483,106,,115,5774426,Executives
full_turns,80483,107,,116,5774427,Analysts
full_turns,80483,111,,121,5774432,Operator
full_turns,80483,112,,122,5774433,Analysts
full_turns,80483,121,,134,5774445,Analysts
full_turns,80483,122,,135,5774446,Executives
full_turns,80483,124,,137,5774448,Analysts
full_turns,80483,125,,138,5774449,Executives
full_turns,80483,133,,147,5774458,Analysts
full_turns,80483,134,,148,5774459,Executives
full_turns,80483,139,,153,5774464,Analysts
full_turns,80483,140,,154,5774465,Executives
full_turns,91758,9,,9,6442590,Executives
full_turns,91758,12,,12,6442593,Executives
full_turns,91758,15,,16,6442597,Analysts
full_turns,91758,18,,19,6442600,
full_turns,91758,19,,20,6442601,Executives
full_turns,91758,21,,22,6442603,Executives
full_turns,91758,22,,23,6442604,Executives
full_turns,91758,24,,25,6442606,Analysts
full_turns,91758,25,,26,6442607,Executives
full_turns,91758,28,,29,6442610,Analysts
full_turns,91758,34,,35,6442616,Executives
full_turns,91758,36,,37,6442618,Analysts
full_turns,91758,37,,38,6442619,Executives
full_turns,91758,38,,39,6442620,Executives
full_turns,91758,40,,41,6442622,Executives
full_turns,91758,42,,43,6442624,Analysts
full_turns,91758,43,,44,6442625,Executives
full_turns,91758,44,,45,6442626,Executives
full_turns,91758,45,,46,6442627,Analysts
full_turns,91758,46,,47,6442628,Executives
full_turns,91758,48,,49,6442630,Analysts
full_turns,91758,49,,50,6442631,Executives
full_turns,91758,50,,51,6442632,Analysts
full_turns,91758,51,,52,6442633,Executives
full_turns,91758,53,,54,6442635,Executives
full_turns,91758,55,,56,6442637,Analysts
full_turns,91758,56,,57,6442638,Executives
full_turns,91758,58,,59,6442640,Executives
full_turns,91758,59,,60,6442641,Executives
full_turns,91758,61,,62,6442643,Analysts
full_turns,91758,62,,63,6442644,Executives
full_turns,91758,66,,67,6442648,Executives
full_turns,91758,67,,68,6442649,Analysts
full_turns,91758,68,,69,6442650,Executives
full_turns,91758,70,,71,6442652,
full_turns,91758,72,,73,6442654,
full_turns,91758,73,,74,6442655,Executives
full_turns,91758,75,,76,6442657,
full_turns,91758,76,,77,6442658,Executives
full_turns,91758,77,,78,6442659,
full_turns,91758,78,,79,6442660,Executives
full_turns,91758,79,,80,6442661,Executives
full_turns,91758,81,,82,6442663,Executives
full_turns,91793,5,,5,6445019,Analysts
full_turns,91793,6,,6,6445020,Executives
full_turns,91793,7,,7,6445021,Executives
full_turns,91793,8,,8,6445022,Analysts
full_turns,91793,9,,9,6445023,Executives
full_turns,91793,10,,11,6445025,Executives
full_turns,91793,14,,15,6445029,Analysts
full_turns,91793,16,,17,6445031,Analysts
full_turns,91793,17,,18,6445032,Executives
full_turns,91793,19,,20,6445034,Analysts
full_turns,91793,20,,21,6445035,Executives
full_turns,91793,25,,27,6445041,Executives
full_turns,91793,28,,30,6445044,Analysts
full_turns,91793,29,,31,6445045,Executives
full_turns,91793,30,,32,6445046,Analysts
full_turns,91793,31,,33,6445047,Executives
full_turns,91793,33,,35,6445049,Executives
full_turns,91793,35,,37,6445051,Analysts
full_turns,91793,36,,38,6445052,Executives
full_turns,91793,37,,41,6445055,Analysts
full_turns,91793,41,,45,6445059,Analysts
full_turns,91793,42,,46,6445060,Executives
full_turns,91793,48,,52,6445066,Analysts
full_turns,91793,53,,57,6445071,Executives
full_turns,91793,56,,61,6445075,Executives
full_turns,91793,59,,64,6445078,Analysts
full_turns,91793,62,,67,6445081,Executives
full_turns,91793,66,,71,6445085,Analysts
full_turns,91793,68,,73,6445087,Analysts
full_turns,91793,73,,78,6445092,Executives
full_turns,91793,78,,83,6445097,Executives
full_turns,91793,80,,85,6445099,Executives
full_turns,91793,82,,88,6445102,Analysts
full_turns,91793,83,,89,6445103,Executives
full_turns,91793,84,,90,6445104,Analysts
full_turns,91793,85,,91,6445105,Executives
full_turns,91793,87,,93,6445107,Executives
full_turns,91793,97,,103,6445117,Analysts
full_turns,91793,98,,104,6445118,Executives
full_turns,91793,101,,107,6445121,Analysts
full_turns,91793,104,,110,6445124,Executives
full_turns,91793,108,,114,6445128,Analysts
full_turns,91793,109,,115,6445129,Executives
full_turns,91793,110,,116,6445130,Analysts
full_turns,91793,111,,117,6445131,Executives
full_turns,91793,112,,118,6445132,Analysts
full_turns,91793,115,,121,6445135,Executives
full_turns,91793,117,,123,6445137,Analysts
full_turns,91793,120,,126,6445140,Executives
full_turns,91793,127,,133,6445147,Analysts
full_turns,91793,128,,134,6445148,Executives
full_turns,91793,129,,135,6445149,Executives
full_turns,91793,134,,140,6445154,Executives
full_turns,91793,144,,150,6445164,Analysts
full_turns,91793,147,,153,6445167,
full_turns,91793,148,,154,6445168,Executives
full_turns,91793,149,,155,6445169,
full_turns,91793,150,,156,6445170,Executives
full_turns,91793,151,,157,6445171,
full_turns,91793,154,,160,6445174,Analysts
full_turns,92319,5,,5,6468617,Executives
full_turns,92319,7,,7,6468619,Analysts
full_turns,92319,8,,8,6468620,Executives
full_turns,92319,10,,10,6468622,Analysts
full_turns,92319,11,,11,6468623,Executives
full_turns,92319,14,,14,6468626,Executives
full_turns,92319,17,,17,6468629,Executives
full_turns,92319,20,,20,6468632,Executives
full_turns,92319,23,,23,6468635,Executives
full_turns,92319,25,,25,6468637,Analysts
full_turns,92319,26,,26,6468638,Executives
full_turns,92319,28,,28,6468640,Analysts
full_turns,92319,29,,29,6468641,Executives
full_turns,92319,31,,31,6468643,Analysts
full_turns,92319,32,,32,6468644,Executives
full_turns,92319,34,,34,6468646,Executives
full_turns,92362,6,,6,6471101,Executives
full_turns,92362,7,,7,6471102,
full_turns,92362,11,,11,6471106,Executives
full_turns,92362,12,,12,6471107,Analysts
full_turns,92362,13,,13,6471108,Executives
full_turns,92362,16,,16,6471111,Executives
full_turns,92362,17,,17,6471112,Analysts
full_turns,92362,18,,18,6471113,Executives
full_turns,92362,20,,20,6471115,
full_turns,92362,21,,21,6471116,Executives
full_turns,92362,23,,23,6471118,Executives
full_turns,92362,25,,25,6471120,Analysts
full_turns,92362,29,,29,6471124,Executives
full_turns,92362,31,,31,6471126,Analysts
