date,portfolio_id,weighting,sector,contribution
1980-01-31,No R&D,Value-Weighted,Communication Services,0.0042613880278584305
1980-01-31,No R&D,Equal-Weighted,Communication Services,-0.0004887131782945737
1980-01-31,No R&D,Value-Weighted,Consumer Discretionary,0.0020689789313420963
1980-01-31,No R&D,Equal-Weighted,Consumer Discretionary,0.013237651162790699
1980-01-31,No R&D,Value-Weighted,Consumer Staples,0.004001214853935802
1980-01-31,No R&D,Equal-Weighted,Consumer Staples,0.004171348837209303
1980-01-31,No R&D,Value-Weighted,Energy,0.02728622778366409
1980-01-31,No R&D,Equal-Weighted,Energy,0.025694728682170542
1980-01-31,No R&D,Value-Weighted,Health Care,0.0011818493251964067
1980-01-31,No R&D,Equal-Weighted,Health Care,0.0023090852713178295
1980-01-31,No R&D,Value-Weighted,Industrials,0.007853227001873256
1980-01-31,No R&D,Equal-Weighted,Industrials,0.03088934108527132
1980-01-31,No R&D,Value-Weighted,Information Technology,0.0001655623557721771
1980-01-31,No R&D,Equal-Weighted,Information Technology,0.0006363565891472868
1980-01-31,No R&D,Value-Weighted,Materials,0.0009235752729361513
1980-01-31,No R&D,Equal-Weighted,Materials,0.002689356589147287
1980-01-31,No R&D,Value-Weighted,Utilities,0.02395080659848926
1980-01-31,No R&D,Equal-Weighted,Utilities,0.005078077519379845
1980-01-31,No R&D,Value-Weighted,Unknown,0.026959586815193018
1980-01-31,No R&D,Equal-Weighted,Unknown,0.01616906976744186
1980-01-31,Q1,Value-Weighted,Consumer Discretionary,0.011019975776449715
1980-01-31,Q1,Equal-Weighted,Consumer Discretionary,0.0161652
1980-01-31,Q1,Value-Weighted,Consumer Staples,0.0
1980-01-31,Q1,Equal-Weighted,Consumer Staples,0.0
1980-01-31,Q1,Value-Weighted,Energy,0.078903513935376
1980-01-31,Q1,Equal-Weighted,Energy,0.020180550000000002
1980-01-31,Q1,Value-Weighted,Industrials,0.011883655403674457
1980-01-31,Q1,Equal-Weighted,Industrials,0.027361700000000003
1980-01-31,Q1,Value-Weighted,Information Technology,-0.0021752263983964154
1980-01-31,Q1,Equal-Weighted,Information Technology,0.009527500000000001
1980-01-31,Q1,Value-Weighted,Materials,0.01168881497433056
1980-01-31,Q1,Equal-Weighted,Materials,0.0278558
1980-01-31,Q1,Value-Weighted,Unknown,0.003128174370370558
1980-01-31,Q1,Equal-Weighted,Unknown,0.00461365
1980-01-31,Q2,Value-Weighted,Consumer Discretionary,-0.004610003487629216
1980-01-31,Q2,Equal-Weighted,Consumer Discretionary,0.0007029
1980-01-31,Q2,Value-Weighted,Consumer Staples,0.026308939641695193
1980-01-31,Q2,Equal-Weighted,Consumer Staples,0.020238100000000002
1980-01-31,Q2,Value-Weighted,Industrials,0.012357336971653993
1980-01-31,Q2,Equal-Weighted,Industrials,0.04105110000000001
1980-01-31,Q2,Value-Weighted,Information Technology,0.02062294006772686
1980-01-31,Q2,Equal-Weighted,Information Technology,0.07088685000000002
1980-01-31,Q2,Value-Weighted,Materials,0.008683590081925532
1980-01-31,Q2,Equal-Weighted,Materials,0.007905800000000001
1980-01-31,Q2,Value-Weighted,Unknown,0.007963365353239169
1980-01-31,Q2,Equal-Weighted,Unknown,0.032061000000000006
1980-01-31,Q3,Value-Weighted,Consumer Discretionary,0.0006202886466546115
1980-01-31,Q3,Equal-Weighted,Consumer Discretionary,0.006895000000000001
1980-01-31,Q3,Value-Weighted,Health Care,-0.004129279054895937
1980-01-31,Q3,Equal-Weighted,Health Care,-0.0007353
1980-01-31,Q3,Value-Weighted,Industrials,0.0003238374827834976
1980-01-31,Q3,Equal-Weighted,Industrials,0.00155075
1980-01-31,Q3,Value-Weighted,Information Technology,0.00015553167555946282
1980-01-31,Q3,Equal-Weighted,Information Technology,0.0021978
1980-01-31,Q3,Value-Weighted,Materials,0.06325425565032845
1980-01-31,Q3,Equal-Weighted,Materials,0.013572350000000002
1980-01-31,Q3,Value-Weighted,Real Estate,0.0002076513327948147
1980-01-31,Q3,Equal-Weighted,Real Estate,0.0090909
1980-01-31,Q3,Value-Weighted,Unknown,0.08860919385954333
1980-01-31,Q3,Equal-Weighted,Unknown,0.07371855000000001
1980-01-31,Q4,Value-Weighted,Consumer Discretionary,-0.00017514490990818283
1980-01-31,Q4,Equal-Weighted,Consumer Discretionary,-0.0036165500000000005
1980-01-31,Q4,Value-Weighted,Consumer Staples,0.004036878926975873
1980-01-31,Q4,Equal-Weighted,Consumer Staples,0.014754100000000001
1980-01-31,Q4,Value-Weighted,Industrials,0.2016615611564434
1980-01-31,Q4,Equal-Weighted,Industrials,0.05227835000000001
1980-01-31,Q4,Value-Weighted,Information Technology,0.021971395551678406
1980-01-31,Q4,Equal-Weighted,Information Technology,0.03202000000000001
1980-01-31,Q4,Value-Weighted,Materials,-0.00043525081158009673
1980-01-31,Q4,Equal-Weighted,Materials,-0.00266665
1980-01-31,Q4,Value-Weighted,Unknown,-7.907759363614896e-05
1980-01-31,Q4,Equal-Weighted,Unknown,-0.00021874999999999998
1980-01-31,Q5,Value-Weighted,Consumer Discretionary,0.03297402433571932
1980-01-31,Q5,Equal-Weighted,Consumer Discretionary,0.0190383
1980-01-31,Q5,Value-Weighted,Health Care,0.01745095181503866
1980-01-31,Q5,Equal-Weighted,Health Care,0.03160585
1980-01-31,Q5,Value-Weighted,Industrials,0.04341894600115832
1980-01-31,Q5,Equal-Weighted,Industrials,0.02714845
1980-01-31,Q5,Value-Weighted,Information Technology,0.04888503336450925
1980-01-31,Q5,Equal-Weighted,Information Technology,0.0491526
1980-01-31,Q5,Value-Weighted,Unknown,0.011659402955265543
1980-01-31,Q5,Equal-Weighted,Unknown,0.0188807
1980-02-29,No R&D,Value-Weighted,Communication Services,-0.0083417375661397
1980-02-29,No R&D,Equal-Weighted,Communication Services,-0.000570748717948718
1980-02-29,No R&D,Value-Weighted,Consumer Discretionary,-0.000707049530107153
1980-02-29,No R&D,Equal-Weighted,Consumer Discretionary,0.003121441025641026
1980-02-29,No R&D,Value-Weighted,Consumer Staples,0.002801034280239089
1980-02-29,No R&D,Equal-Weighted,Consumer Staples,-0.0004917538461538461
1980-02-29,No R&D,Value-Weighted,Energy,0.010290831616430417
1980-02-29,No R&D,Equal-Weighted,Energy,0.010796138461538462
1980-02-29,No R&D,Value-Weighted,Financials,-4.8989416687176965e-05
1980-02-29,No R&D,Equal-Weighted,Financials,-0.0005398102564102564
1980-02-29,No R&D,Value-Weighted,Health Care,-0.0002742884183423002
1980-02-29,No R&D,Equal-Weighted,Health Care,0.0004910358974358974
1980-02-29,No R&D,Value-Weighted,Industrials,-0.013676186593074374
1980-02-29,No R&D,Equal-Weighted,Industrials,-0.003009979487179488
1980-02-29,No R&D,Value-Weighted,Information Technology,0.00038973675329575266
1980-02-29,No R&D,Equal-Weighted,Information Technology,0.0013420820512820512
1980-02-29,No R&D,Value-Weighted,Materials,-0.0013477482592369595
1980-02-29,No R&D,Equal-Weighted,Materials,-0.001183020512820513
1980-02-29,No R&D,Value-Weighted,Utilities,-0.0005480009388529954
1980-02-29,No R&D,Equal-Weighted,Utilities,-0.00022068205128205156
1980-02-29,No R&D,Value-Weighted,Unknown,0.005872113056117899
1980-02-29,No R&D,Equal-Weighted,Unknown,0.015804210256410253
1980-02-29,Q1,Value-Weighted,Consumer Discretionary,-0.009628412712428144
1980-02-29,Q1,Equal-Weighted,Consumer Discretionary,-0.012671323529411764
1980-02-29,Q1,Value-Weighted,Consumer Staples,0.009113491131861455
1980-02-29,Q1,Equal-Weighted,Consumer Staples,0.007238676470588235
1980-02-29,Q1,Value-Weighted,Energy,0.00238611603400695
1980-02-29,Q1,Equal-Weighted,Energy,0.0022910294117647056
1980-02-29,Q1,Value-Weighted,Financials,-0.0009130792873132823
1980-02-29,Q1,Equal-Weighted,Financials,-0.0003819705882352941
1980-02-29,Q1,Value-Weighted,Industrials,-0.0014841460803038452
1980-02-29,Q1,Equal-Weighted,Industrials,-0.004689647058823529
1980-02-29,Q1,Value-Weighted,Information Technology,-0.0007619336157943382
1980-02-29,Q1,Equal-Weighted,Information Technology,-0.0016224411764705887
1980-02-29,Q1,Value-Weighted,Materials,-0.016250190801602834
1980-02-29,Q1,Equal-Weighted,Materials,-0.002017411764705882
1980-02-29,Q1,Value-Weighted,Unknown,-0.004170953060427117
1980-02-29,Q1,Equal-Weighted,Unknown,-0.010938529411764705
1980-02-29,Q2,Value-Weighted,Consumer Discretionary,-0.00026367162727113373
1980-02-29,Q2,Equal-Weighted,Consumer Discretionary,-0.002017242424242424
1980-02-29,Q2,Value-Weighted,Consumer Staples,-0.0004913832180204262
1980-02-29,Q2,Equal-Weighted,Consumer Staples,-0.0005353939393939394
1980-02-29,Q2,Value-Weighted,Energy,-0.018925603697182675
1980-02-29,Q2,Equal-Weighted,Energy,-0.0015410606060606061
1980-02-29,Q2,Value-Weighted,Health Care,-0.00012190878006611179
1980-02-29,Q2,Equal-Weighted,Health Care,-0.003246757575757576
1980-02-29,Q2,Value-Weighted,Industrials,-0.015916172761841776
1980-02-29,Q2,Equal-Weighted,Industrials,-0.02286112121212121
1980-02-29,Q2,Value-Weighted,Information Technology,0.000948648905391362
1980-02-29,Q2,Equal-Weighted,Information Technology,0.0034500303030303046
1980-02-29,Q2,Value-Weighted,Materials,-0.0011716337396565156
1980-02-29,Q2,Equal-Weighted,Materials,-0.0022729696969696974
1980-02-29,Q2,Value-Weighted,Unknown,-0.003279895993779591
1980-02-29,Q2,Equal-Weighted,Unknown,-0.0076883333333333335
1980-02-29,Q3,Value-Weighted,Consumer Discretionary,-0.007721657478454573
1980-02-29,Q3,Equal-Weighted,Consumer Discretionary,-0.003576727272727273
1980-02-29,Q3,Value-Weighted,Energy,-0.00014882631770847142
1980-02-29,Q3,Equal-Weighted,Energy,-0.008359454545454545
1980-02-29,Q3,Value-Weighted,Health Care,0.00011864409420942308
1980-02-29,Q3,Equal-Weighted,Health Care,0.00018706060606060607
1980-02-29,Q3,Value-Weighted,Industrials,-0.038245745662615654
1980-02-29,Q3,Equal-Weighted,Industrials,-0.01336869696969697
